,Food,Drink,Modifier,Gross,Tax,Total
08/31,"$4,549.60",$232.85,$558.05,"$5,343.50",$423.92,"$5,601.79"
09/01,"$4,711.60",$268.94,$488.30,"$5,468.84",$432.88,"$5,712.63"
09/02,"$4,600.45",$357.95,$480.20,"$5,441.60",$429.97,"$5,666.61"
09/03,"$4,681.85",$414.60,$577.65,"$5,674.10",$450.49,"$5,916.81"
09/04,"$5,471.55",$356.79,$527.10,"$6,355.44",$469.38,"$6,579.71"
09/05,"$5,959.35",$380.85,$578.65,"$6,920.35",$552.40,"$7,248.67"
09/06,"$4,993.20",$350.85,$435.80,"$5,779.85",$457.81,"$6,024.84"
09/07,"$5,224.00",$286.85,$390.75,"$5,901.60",$472.06,"$6,207.66"
09/08,"$4,649.30",$338.45,$459.05,"$5,446.80",$431.58,"$5,695.30"
09/09,"$4,341.00",$311.75,$438.20,"$5,092.45",$406.97,"$5,348.31"
09/10,"$7,050.50",$498.46,$690.50,"$8,240.96",$656.86,"$8,646.86"
09/11,"$5,445.15",$378.75,$458.00,"$6,281.90",$497.40,"$6,556.84"
09/12,"$6,086.95",$450.54,$605.05,"$7,144.04",$569.13,"$7,502.11"
09/13,"$4,415.30",$292.89,$400.75,"$5,108.94",$403.42,"$5,307.65"
09/14,"$4,589.20",$270.05,$391.20,"$5,250.45",$429.45,"$5,642.40"
09/15,"$4,976.40",$388.85,$312.30,"$5,679.05",$454.20,"$5,970.71"
09/16,"$4,719.75",$354.24,$492.10,"$5,566.09",$442.39,"$5,835.20"
09/17,"$5,477.95",$373.50,$499.55,"$6,351.00",$505.16,"$6,635.18"
09/18,"$5,210.25",$357.90,$670.80,"$6,240.45",$494.76,"$6,503.54"
09/19,"$5,864.65",$382.30,$595.50,"$6,842.45",$547.37,"$7,196.04"
09/20,"$4,948.15",$301.65,$432.90,"$5,685.70",$453.87,"$5,959.58"
09/21,"$4,423.20",$260.45,$464.50,"$5,148.15",$405.36,"$5,353.57"
09/22,"$5,302.05",$359.19,$527.70,"$6,188.94",$494.56,"$6,490.71"
09/23,"$4,552.85",$318.75,$401.55,"$5,273.15",$416.88,"$5,480.18"
09/24,"$5,186.15",$361.85,$389.25,"$5,938.75",$470.31,"$6,206.78"
09/25,"$6,146.00",$379.40,$641.40,"$7,166.80",$566.92,"$7,473.51"
09/26,"$6,599.30",$468.90,$651.25,"$7,720.95",$613.56,"$8,097.19"
09/27,"$5,576.30",$354.40,$502.15,"$6,434.35",$514.16,"$6,736.49"